Unnamed: 0,Model,Price,Rating,Generation,Core,Ram,SSD,Display,Graphics,OS,Warranty,image_url
198,Asus Vivobook Pro 16 OLED 2023 K6602VU-LZ952WS Laptop (13th Gen Core i9/ 16GB/ 1TB SSD/ Win11/ 6GB Graph),"₹1,49,990",,13th Gen Intel Core i9 13900H,"14 Cores (6P + 8E), 20 Threads",16 GB DDR5 RAM,1 TB SSD,"16 inches, 3200 x 2000 pixels",6 GB NVIDIA GeForce RTX 4050,Windows 11 OS,1 Year Warranty,https://dlcdnwebimgs.asus.com/gain/0F3A3C65-88A8-46F8-8D38-9C6BB2A98E2D
199,Acer Nitro 5 AN515-47 Gaming Laptop (AMD Ryzen 7 7735HS/ 16GB/ 512GB SSD/ Win11 Home/ 4GB Graph),"₹69,990",68.0,7th Gen AMD Ryzen 7 7735HS,"Octa Core, 16 Threads",16 GB DDR5 RAM,512 GB SSD,"15.6 inches, 1920 x 1080 pixels",4 GB NVIDIA GeForce RTX 3050,Windows 11 OS,1 Year Warranty,https://static.acer.com/up/Resource/Acer/Laptops/Nitro_5/Product_Gallery/20230110/Nitro5_AN515-58_black_01.png
200,Apple MacBook Air 15 2023 Laptop (Apple M2/ 8GB/ 256GB SSD/ MacOS),"₹1,13,690",52.0,Apple M2,Octa Core (4P + 4E),8 GB DDR4 RAM,256 GB SSD,"15.3 inches, 2880 x 1864 pixels",10-Core GPU,Mac OS,1 Year Warranty,https://store.storeimages.cdn-apple.com/4668/as-images.apple.com/is/macbook-air-midnight-gallery1-202402?wid=1200&hei=630&fmt=jpeg&qlt=95&.v=1707414684423
201,HP Pavilion x360 14-ek1010TU Laptop (13th Gen Core i5/ 16GB/ 1TB SSD/ Win11),"₹74,990",65.0,13th Gen Intel Core i5 1335U,"10 Cores (2P + 8E), 12 Threads",16 GB DDR4 RAM,1 TB SSD,"14 inches, 1920 x 1080 pixels, Touch Screen",Intel Integrated Iris Xe,Windows 11 OS,1 Year Warranty,https://ssl-product-images.www8-hp.com/digmedialib/prodimg/lowres/c08089690.png
202,MSI Stealth 17 A13VH-055IN Gaming Laptop (13th Gen Core i9/ 64GB/ 2TB SSD/ Win11 Home/ 12GB Graph),"₹4,89,883",,13th Gen Intel Core i9 13900H,"14 Cores (6P + 8E), 20 Threads",64 GB DDR5 RAM,2 TB SSD,"17.3 inches, 3840 x 2160 pixels",12 GB Nvidia GeForce RTX4080,Windows 11 OS,2 Year Warranty,https://cdn-icons-png.flaticon.com/512/179/179386.png
203,Acer Extensa EX215-23 NX.EH3SI.003 Laptop (Ryzen 5 7520U/ 8 GB/512 GB SSD/Win11 Home),"₹31,990",50.0,7th Gen AMD Ryzen 5 7520U,"Quad Core, 8 Threads",8 GB LPDDR5 RAM,512 GB SSD,"15.6 inches, 1920 x 1080 pixels",AMD Radeon AMD,Windows 11 OS,1 Year Warranty,https://static.acer.com/up/Resource/Acer/Laptops/Aspire_5/Product_Gallery/20230110/Aspire5_A515-58M_silver_01.png
204,Samsung Galaxy Book 3 NP750XFG-KA3IN Laptop (13th Gen Core i7/ 16GB/ 512GB SSD/ Win11),"₹81,990",56.0,13th Gen Intel Core i7 1355U,"10 Cores (2P + 8E), 12 Threads",16 GB LPDDR4x RAM,512 GB SSD,"15.6 inches, 1920 x 1080 pixels",Intel Iris Xe Graphics,Windows 11 OS,1 Year Warranty,https://images.samsung.com/is/image/samsung/p6pim/in/np750xed-kc1in/gallery/in-galaxy-book4-np750xgk-kc1in-thumb-539774817
205,Samsung Galaxy Book 3 Laptop (13th Gen Core i5/ 8GB/ 512GB SSD/ Win11),"₹69,990",,13th Gen Intel Core i7 1355U,"10 Cores (2P + 8E), 12 Threads",16 GB LPDDR4x RAM,512 GB SSD,"15.6 inches, 1920 x 1080 pixels",Intel Iris Xe Graphics,Windows 11 OS,1 Year Warranty,https://images.samsung.com/is/image/samsung/p6pim/in/np750xed-kc1in/gallery/in-galaxy-book4-np750xgk-kc1in-thumb-539774817
206,HP Omen 17-ck1023TX Gaming Laptop (12th Gen Core i9/ 32GB/ 2TB SSD/ Win11/ 16GB Graph),"₹1,95,999",,12th Gen Intel Core i9 12900HX,"16 Cores (8P + 8E), 24 Threads",32 GB DDR5 RAM,2 TB SSD,"17.3 inches, 2560 x 1440 pixels",16 GB NVIDIA GeForce RTX 3080Ti,Windows 11  OS,1 Year Warranty,https://ssl-product-images.www8-hp.com/digmedialib/prodimg/lowres/c08173008.png
207,Dell G15-5521 SE D560738WIN9B Laptop (12th Gen Core i7/ 16GB/ 1TB SSD/ Win11 Home/ 6GB Graph),"₹99,890",75.0,12th Gen Intel Core i7 12700H,"14 Cores (6P + 8E), 20 Threads",16 GB DDR5 RAM,1 TB SSD,"15.6 inches, 2560 x 1440 pixels",6 GB NVIDIA GeForce RTX 3060,Windows 11 OS,1 Year Warranty,https://i.dell.com/is/image/DellContent/content/dam/ss2/product-images/page/category/laptop/laptop-family-site-refresh.png
208,Acer Aspire 5 A515-57G UN.K9TSI.002 Gaming Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home/ 4GB Graph),"₹52,990",68.0,12th Gen Intel Core i5 1240P,"12 Cores (4P + 8E), 16 Threads",16 GB DDR4 RAM,512 GB SSD,"15.6 inches, 1920 x 1080 pixels",4 GB NVIDIA GeForce RTX 2050,Windows 11 OS,1 Year Warranty,https://static.acer.com/up/Resource/Acer/Laptops/Aspire_5/Product_Gallery/20230110/Aspire5_A515-58M_silver_01.png
209,Asus TUF Gaming A15 2022 FA577RE-HN055WS Gaming Laptop (AMD Ryzen 7 6800H/ 16GB/ 512GB SSD/ Win11/ 4GB Graph),"₹72,000",71.0,6th Gen AMD Ryzen 7 6800H ,"Octa Core, 16 Threads",16 GB DDR5 RAM,512 GB SSD,"15.6 inches, 1920 x 1080 pixels",4 GB NVIDIA GeForce RTX 3050 Ti,Windows 11 OS,1 Year Warranty,https://dlcdnwebimgs.asus.com/gain/8D0F1F7A-17A0-452B-A76A-E5FD0C5F8C71
